allergy_no,allergy_ko_name,allergy_en_name
0,없음,NONE
1,난류(가금류),poultry(egg)
2,우유,milk
3,메밀,buckwheat
4,땅콩,peanut
5,대두,soybean
6,밀,wheat
7,고등어,mackerel
8,게,crab
9,새우,shrimp
10,돼지고기,pork
11,복숭아,peach
12,토마토,tomato
13,아황산류,sulfurous?acid
14,호두,walnut
15,닭고기,chicken
16,쇠고기,beef
17,오징어,squid
18,조개류,shellfish
19,견과류,nuts
